157
Feature_ID,AvgMisorientations,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,Centroids_0,Centroids_1,Centroids_2,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,Sphericity,SurfaceAreaVolumeRatio,SurfaceFeatures,Volumes,surface
1,40.258755,0.55922586,0.01307684,-0.7188952,0.41265625,8.8469391,28.05102,12.27551,4.2146749,1.1872723,4.1679158,9,1,0.026866203,180,1,147,0.60544217
2,41.976315,0.61370212,0.35340062,0.6764223,0.20231305,28.003145,26.179245,15.405661,2.3838937,1.5738409,1.3389474,9,1,0.027792623,174,1,159,0.56603771
3,47.093922,-0.5193277,0.471497,0.71262825,0.012260118,10.567416,3.3876405,28.634832,3.9924295,1.554817,5.4667535,6,1,0.044366207,109,1,89,0.62921351
4,42.8894,0.59494853,0.015670173,0.59490526,0.54025775,21.888889,5.3888888,28.75926,2.3344235,1.2749166,2.2817583,7,1,0.057570435,84,1,54,0.66666669
5,45.63311,0.59566337,-0.28692412,-0.6864168,0.30280626,13.19403,1.8283582,14.007463,3.8480356,1.4447435,4.7458181,8,1,0.030036749,161,1,134,0.5597015
6,40.392971,0.87400734,-0.22981058,-0.26192158,0.33866695,24.89267,15.63089,25.526178,3.5427771,2.2567401,4.0570149,11,1,0.01784471,271,1,191,0.62303662
7,46.325901,0.8824898,-0.24977063,-0.39844513,0.008240046,6.0263157,1.997076,16.874269,4.4158959,2.3217649,4.9675274,11,1,0.02558686,189,1,171,0.56140351
8,41.15749,-0.6143083,0.58294421,0.10525159,0.52127111,19.582438,25.700716,25.6362,5.3247433,2.0201652,0.55997264,12,1,0.015907621,304,1,279,0.56989247
9,38.168087,0.20458125,-0.64116544,0.66094238,0.33197683,28.515873,22.198412,18.563492,0.77433401,1.47655,3.2981954,7,1,0.050904386,95,1,63,0.66666669
10,35.770737,0.84674108,0.40125516,0.349271,0.0057998672,22.803406,6.8962851,20.493809,2.7429898,1.7771089,1.9535673,15,1,0.012999776,372,0,323,0.56656349
11,39.392693,0.87335378,-0.12887533,0.36547151,0.29508469,26.682482,27.645985,5.6970801,2.1035316,2.1636274,2.3965445,7,1,0.032239445,150,1,137,0.59124088
12,41.077518,0.85502344,0.26712966,0.093070701,0.434643,23.507936,12.261905,22.079365,5.7207108,0.98270506,3.8764319,11,1,0.025452193,190,0,126,0.69841272
13,49.335934,0.51849675,0.38200745,0.34597504,0.68229961,10.042735,20.3547,2.5683761,3.3072767,1.3994969,2.0373302,9,1,0.020491172,236,1,234,0.55128205
14,39.140083,-0.0080358237,0.90789104,0.19254842,0.37228271,27.413296,3.7774568,24.343931,4.2439189,2.2766206,1.0846245,8,1,0.022919036,211,1,173,0.53179193
15,36.906471,-0.064596772,0.26115111,0.60607469,0.74853241,23.948599,21.845795,9.0887852,0.68594265,1.2471715,0.90458757,10,1,0.029487295,164,0,107,0.74766356
16,38.387817,-0.040372141,0.48160315,0.84304923,0.23600096,27.225714,26.219999,2.0714285,3.4981763,1.0088232,0.18931744,8,1,0.033817597,143,1,175,0.4342857
17,41.226688,0.60804021,0.51461971,0.56475753,0.21564458,26.637323,21.795774,24.214788,2.6379223,1.8432472,1.2331705,15,1,0.016012968,302,1,284,0.52112675
18,44.879013,-0.66494256,0.15429595,-0.71350908,0.1579524,9.8345861,2.4661653,23.605263,1.1249269,1.5026553,1.5809447,11,1,0.019421352,249,1,266,0.50375938
19,46.010864,-0.10676745,0.35986441,0.75583673,0.5364784,14.433333,28.207693,21.756411,4.0472684,0.76958919,0.32884473,12,1,0.023028174,210,1,195,0.51794875
20,38.144077,-0.041984644,-0.30045891,-0.48258442,0.82162887,28.275862,28.586206,20.189655,1.963027,0.61647171,5.3822918,5,1,0.06535022,74,1,58,0.56896549
21,41.070267,0.66311377,-0.501899,0.502069,0.2372852,6.9615383,8.2692308,2.0128205,1.3644056,1.9641032,2.660188,9,1,0.033122715,146,1,117,0.60683763
22,35.985954,0.68594092,0.2910907,0.35403538,0.56516385,18.419481,18.372726,26.125975,2.9833002,1.68152,2.1806314,17,1,0.013105465,369,1,385,0.48571429
23,36.303795,-0.28860041,0.29581922,0.30210108,0.85903186,6.5321102,22.417431,25.417431,5.1472683,0.85210323,0.4595823,15,1,0.017271131,280,1,218,0.58715594
24,48.061451,-0.066970877,-0.19144391,-0.97884423,0.026983382,22.056486,2.3702929,25.546024,2.7775187,0.40847343,0.30895463,10,1,0.01957861,247,1,239,0.48117155
25,42.508926,-0.88433582,-0.1159509,-0.23978893,0.38341472,1.4558823,1.9705882,15.558824,0.68926209,2.2030804,0.42851678,6,1,0.063630484,76,1,68,0.60294116
26,41.905865,-0.73953658,0.46469757,0.48414615,0.052387301,24.604395,10.714286,27.835165,4.259161,2.1243532,5.3811893,14,1,0.025318936,191,1,182,0.55494505
